County,State,Population,Valid_ballots,Voter_turnout,Democrats,Republicans,Democrats_vote_share,Republicans_vote_share
Jefferson County,Georgia,15755,6968,44.22722945,3821,3063,54.83639495,43.95809414
Jenkins County,Georgia,8812,3056,34.67998184,1123,1895,36.7473822,62.0091623
Johnson County,Georgia,9660,3686,38.1573499,1136,2519,30.81931633,68.33966359
Jones County,Georgia,28574,12551,43.92454679,3961,8305,31.55923831,66.17002629
Lamar County,Georgia,18484,7612,41.18156243,2270,5190,29.82133473,68.18181818
Lanier County,Georgia,10430,2871,27.52636625,806,1984,28.07384187,69.10484152
Laurens County,Georgia,47279,19530,41.30798029,6752,12411,34.57245264,63.5483871
Lee County,Georgia,29184,14143,48.46148575,3170,10646,22.41391501,75.27398713
Liberty County,Georgia,61473,16143,26.2603094,9556,6134,59.19593632,37.99789382
Lincoln County,Georgia,7855,4102,52.22151496,1273,2759,31.03364213,67.25987323
Long County,Georgia,18372,4117,22.40910081,1360,2626,33.03376245,63.78430896
Lowndes County,Georgia,114360,37805,33.05788737,15064,21635,39.84658114,57.22787991
Lumpkin County,Georgia,31415,12425,39.55116982,2220,9619,17.86720322,77.41649899
McDuffie County,Georgia,21456,9268,43.19537658,3699,5432,39.91152352,58.6102719
McIntosh County,Georgia,14057,5903,41.99331294,2303,3487,39.01406065,59.07165848
Macon County,Georgia,13478,4287,31.80738982,2705,1540,63.09773735,35.92255657
Madison County,Georgia,28856,11998,41.57887441,2425,9201,20.21170195,76.6877813
Marion County,Georgia,8468,3190,37.67123288,1213,1921,38.02507837,60.21943574
Meriwether County,Georgia,21074,9217,43.7363576,3804,5222,41.27156342,56.6561788
Miller County,Georgia,5874,2544,43.30949949,623,1891,24.48899371,74.33176101
Mitchell County,Georgia,22455,7880,35.09240704,3493,4279,44.32741117,54.30203046
Monroe County,Georgia,26905,12687,47.15480394,3571,8832,28.14692205,69.61456609
Montgomery County,Georgia,8985,3576,39.79966611,847,2670,23.68568233,74.66442953
Morgan County,Georgia,18107,9475,52.32782902,2663,6559,28.1055409,69.22427441
Murray County,Georgia,39347,12458,31.66188019,1800,10341,14.44854712,83.00690319
Muscogee County,Georgia,196219,69032,35.18109867,39851,26976,57.72829992,39.07752926
Newton County,Georgia,106499,43987,41.30273524,21943,20913,49.88519335,47.54359243
Oconee County,Georgia,36929,20149,54.56145577,5581,13425,27.69864509,66.6286168
Oglethorpe County,Georgia,14712,6674,45.36432844,1831,4625,27.4348217,69.29877135
Paulding County,Georgia,155246,64890,41.79817837,18025,44662,27.77777778,68.82724611
Peach County,Georgia,26885,10752,39.99256091,5100,5413,47.43303571,50.34412202
Pickens County,Georgia,30652,14038,45.79799034,1979,11651,14.09744978,82.9961533
Pierce County,Georgia,19104,7311,38.26947236,903,6302,12.35125154,86.1988784
Pike County,Georgia,17897,8725,48.75118735,1240,7278,14.21203438,83.41547278
Polk County,Georgia,41555,14215,34.20767657,2867,11014,20.16883574,77.48153359
Pulaski County,Georgia,11288,3605,31.93656981,1104,2437,30.62413315,67.60055479
Putnam County,Georgia,21515,9488,44.09946549,2758,6544,29.0682968,68.97133221
Quitman County,Georgia,2320,1044,45,461,575,44.15708812,55.07662835
Rabun County,Georgia,16465,7992,48.53932584,1444,6287,18.06806807,78.66616617
Randolph County,Georgia,7155,2899,40.51712089,1598,1271,55.12245602,43.84270438
Richmond County,Georgia,201949,75515,37.3931042,48814,24461,64.64146196,32.39223995
Rockdale County,Georgia,88987,37869,42.5556542,23255,13478,61.4090681,35.59111674
Schley County,Georgia,5173,1909,36.90315098,401,1472,21.00576218,77.10843373
Screven County,Georgia,14003,5715,40.812683,2300,3305,40.24496938,57.83027122
Seminole County,Georgia,8427,3588,42.57742969,1189,2345,33.13823857,65.3567447
Spalding County,Georgia,64546,25704,39.82276206,9357,15646,36.40289449,60.86990352
Stephens County,Georgia,25637,9815,38.28451067,1837,7686,18.71625064,78.30871116
Stewart County,Georgia,6122,2058,33.61646521,1222,805,59.37803693,39.11564626
Sumter County,Georgia,30403,10974,36.09512219,5520,5276,50.30071077,48.07727356
Talbot County,Georgia,6366,3246,50.98963242,2002,1196,61.67590881,36.84534812
Taliaferro County,Georgia,1611,897,55.67970205,545,349,60.7580825,38.90746934
Tattnall County,Georgia,25342,6903,27.23936548,1681,5096,24.35173113,73.82297552
Taylor County,Georgia,8189,3408,41.61680303,1296,2064,38.02816901,60.56338028
Telfair County,Georgia,15962,3796,23.78148102,1313,2450,34.5890411,64.54162276
